ParameterNavn;ParameterName;Unit;SortKey;ParameterID;ParameterGroupID;ParameterGruppeNavn;ParameterGroupName;EurofirComponentID;EurofirUnitID;EurofirMatrixUnitID;EFSA_PARAM_Code;EFSA_PARAM_name;PubChem_CID;KEGG;ChEBI;ChEMBL;HMDB;CAS_Nr;SMILES;Formula;MolWeight;Density;cLogP
C13:0;C13:0;g/100g;7060;50;7;Mættede fedtsyrer;Saturated fatty acids;F13:0;g;W;RF-00000100-NTR;fatty acid 13:0 (tridecanoic acid);12530;C17076;CHEBI:45919;CHEMBL107874;HMDB0000910;638-53-9;O=C(O)CCCCCCCCCCCC;C13H26O2;214,349;0,9;4,7
C14:0;C14:0;g/100g;7070;51;7;Mættede fedtsyrer;Saturated fatty acids;F14:0;g;W;RF-00000102-NTR;fatty acid 14:0 (myristic acid);11005;C06424;CHEBI:28875;CHEMBL111077;HMDB0000806;544-63-8;CCCCCCCCCCCCCC(=O)O;C14H28O2;228,376;0,99;5,4
C15:0;C15:0;g/100g;7080;56;7;Mættede fedtsyrer;Saturated fatty acids;F15:0;g;W;RF-00000109-NTR;fatty acid 15:0 (pentadecylic acid);13849;C16537;CHEBI:42504;CHEMBL460025;HMDB0000826;1002-84-2;O=C(O)CCCCCCCCCCCCCC;C15H30O2;242,4;0,842;5,9
C16:0;C16:0;g/100g;7090;58;7;Mættede fedtsyrer;Saturated fatty acids;F16:0;g;W;RF-00000115-NTR;fatty acid 16:0 (palmitic acid);985;C00249;CHEBI:15756;CHEMBL82293;HMDB0000220;57-10-3;CCCCCCCCCCCCCCCC(=O)O;C16H32O2;256,42;0,852;6,3
C17:0;C17:0;g/100g;7100;63;7;Mættede fedtsyrer;Saturated fatty acids;F17:0;g;W;RF-00000131-NTR;fatty acid 17:0 (margaric acid);10465;NULL;CHEBI:32365;CHEMBL1172910;HMDB0002259;506-12-7;O=C(O)CCCCCCCCCCCCCCCC;C17H34O2;270,45;0,853;6,7
C18:0;C18:0;g/100g;7110;65;7;Mættede fedtsyrer;Saturated fatty acids;F18:0;g;W;RF-00000136-NTR;fatty acid 18:0 (stearic acid);5281;C01530;CHEBI:28842;CHEMBL46403;HMDB0000827;57-11-4;CCCCCCCCCCCCCCCCCC(=O)O;C18H36O2;284,484;0,94;7,2
C20:0;C20:0;g/100g;7120;77;7;Mættede fedtsyrer;Saturated fatty acids;F20:0;g;W;RF-00000188-NTR;fatty acid 20:0 (arachidic acid);10467;C06425;CHEBI:28822;CHEMBL1173381;HMDB0002212;506-30-9;O=C(O)CCCCCCCCCCCCCCCCCCC;C20H40O2;312,538;0,824;8,1
C21:0;C21:0;g/100g;7130;409;7;Mættede fedtsyrer;Saturated fatty acids;F21:0;g;W;RF-00000214-NTR;fatty acid 21:0;16898;NULL;CHEBI:39248;CHEMBL1172909;HMDB0002345;2363-71-5;CCCCCCCCCCCCCCCCCCCCC(=O)O;C21H42O2;326,55;0,9;8,6
C22:0;C22:0;g/100g;7140;89;7;Mættede fedtsyrer;Saturated fatty acids;F22:0;g;W;RF-00000217-NTR;fatty acid 22:0 (behenic acid);8215;C08281;CHEBI:28941;CHEMBL1173474;HMDB0000944;112-85-6;O=C(O)CCCCCCCCCCCCCCCCCCCCC;C22H44O2;340,58;NULL;9,1
C23:0;C23:0;g/100g;7150;413;7;Mættede fedtsyrer;Saturated fatty acids;F23:0;g;W;RF-00000239-NTR;fatty acid 23:0 (tricosanoic acid);17085;NULL;CHEBI:42394;CHEMBL1173462;HMDB0001160;2433-96-7;CCCCCCCCCCCCCCCCCCCCCCC(=O)O;C23H46O2;354,61;0,88;9,4
C24:0;C24:0;g/100g;7160;100;7;Mættede fedtsyrer;Saturated fatty acids;F24:0;g;W;RF-00000240-NTR;fatty acid 24:0 (lignoceric acid);11197;C08320;CHEBI:28866;CHEMBL1173620;HMDB0002003;557-59-5;O=C(O)CCCCCCCCCCCCCCCCCCCCCCC;C24H48O2;368,63;0,879;10
C12:1,n-1;C12:1,n-1;g/100g;8010;401;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F12:1CIS;g;W;NULL;NULL;125207;NULL;CHEBI:38381;NULL;HMDB0032248;65423-25-8;C=CCCCCCCCCCC(=O)O;C12H22O2;198,302;NULL;4,4
C14:1,n-5;C14:1,n-5;g/100g;8020;52;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F14:1CN5;g;W;RF-00000106-NTR;fatty acid 14:1 (myristoleic acid);5281119;C08322;CHEBI:27781;CHEMBL456732;HMDB0002000;544-64-9;O=C(O)CCCCCCC\C=C/CCCC;C14H26O2;226,36;NULL;4,7
C15:1,n-5;C15:1,n-5;g/100g;8030;57;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F15:1CIS;g;W;NULL;NULL;5312411;NULL;CHEBI:75089;CHEMBL1173463;NULL;84743-29-3;CCCC/C=C\CCCCCCCCC(=O)O;C15H28O2;240,38;NULL;5,2
C16:1,n-7;C16:1,n-7;g/100g;8040;59;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F16:1CN7;g;W;RF-00000122-NTR;fatty acid 16:1 n-7 cis (palmitoleic acid);445638;C08362;CHEBI:28716;CHEMBL453509;HMDB0003229;373-49-9;O=C(O)CCCCCCC\C=C/CCCCCC;C16H30O2;254;0,894;5,6
C17:1,n-7;C17:1,n-7;g/100g;8050;64;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F17:1CIS;g;W;NULL;NULL;5312435;NULL;CHEBI:75094;NULL;HMDB0060038;29743-97-3;CCCCCC/C=C\CCCCCCCCC(=O)O;C17H32O2;268,43;NULL;6,1
C18:1,n-7;C18:1,n-7;g/100g;8060;66;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F18:1CN7;g;W;RF-00000159-NTR;fatty acid 18:1 n-7 cis;5282761;C21944;CHEBI:50464;CHEMBL1236642;HMDB0240219;506-17-2;CCCCCC/C=C\CCCCCCCCCC(=O)O;C18H34O2;282,46;NULL;6,5
C18:1,n-9;C18:1,n-9;g/100g;8070;67;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F18:1CN9;g;W;RF-00000163-NTR;fatty acid 18:1 n-9 cis (oleic acid);445639;C00712;CHEBI:16196;CHEMBL8659;HMDB0000207;112-80-1;CCCCCCCC\C=C/CCCCCCCC(O)=O;C18H34O2;282;0,895;6,5
C18:1,n-12;C18:1,n-12;g/100g;8075;425;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F18:1CN12;g;W;Ornithine;fatty acid 18:1 n-12 cis;5281125;C08363;CHEBI:28194;CHEMBL3139878;HMDB0304458;593-39-5;CCCCCCCCCCC\C=C/CCCCC(O)=O;C18H34O2;282.468;NULL;6,5
C20:1,n-9;C20:1,n-9;g/100g;8080;347;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F20:1CN9;g;W;RF-00000194-NTR;fatty acid 20:1 n-9 cis;5282768;C16526;CHEBI:32425;NULL;HMDB0002231;5561-99-9;CCCCCCCC/C=C\CCCCCCCCCC(=O)O;C20H38O2;310,51;0,883;7,4
C20:1,n-11;C20:1,n-11;g/100g;8090;78;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F20:1CN11;g;W;RF-00000192-NTR;fatty acid 20:1 n-11 cis;5282767;NULL;CHEBI:32419;NULL;HMDB0062436;29204-02-2;O=C(O)CCCCCCC\C=C/CCCCCCCCCC;C20H38O2;310,522;NULL;7,5
C20:1,n-15;C20:1,n-15;g/100g;8095;424;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;NULL;g;W;NULL;NULL;5312522;NULL;CHEBI:180277;NULL;NULL;7/9/50;OC(=O)CCC/C=C\CCCCCCCCCCCCCC;C20H38O2;310.522;NULL;7,4
C22:1,n-9;C22:1,n-9;g/100g;8100;92;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F22:1CN9;g;W;NULL;NULL;5281116;C08316;CHEBI:28792;CHEMBL1173380;HMDB0002068;112-86-7;O=C(O)CCCCCCCCCCC\C=C/CCCCCCCC;C22H42O2;338,576;0,86;8,4
C22:1,n-11;C22:1,n-11;g/100g;8110;90;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F22:1CN11;g;W;RF-00000220-NTR;fatty acid 22:1 n-11 cis (cetoleic acid);5282771;NULL;CHEBI:32428;NULL;HMDB0002884;1002-96-6;CCCCCCCCCC/C=C\CCCCCCCCCC(=O)O;C22H42O2;338,58;NULL;8,4
C24:1,n-9;C24:1,n-9;g/100g;8120;101;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F24:1CN9;g;W;RF-00000242-NTR;fatty acid 24:1 n-9 cis;5281120;C08323;CHEBI:44247;CHEMBL1173379;HMDB0002368;506-37-6;O=C(O)CCCCCCCCCCCCC\C=C/CCCCCCCC;C24H46O2;366,62;0,901;9,3
C14:1,n-5,trans;C14:1,n-5,trans;g/100g;8510;53;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F14:1TN5;g;W;RF-00000108-NTR;fatty acid 14:1 trans (myristelaidic acid);5312402;NULL;CHEBI:131381;NULL;HMDB0062248;50286-30-1;OC(=O)CCCCCCC/C=C/CCCC;C14H26O2;226,35;NULL;4,7
C16:1,n-7,trans;C16:1,n-7,trans;g/100g;8520;60;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F16:1TN7;g;W;RF-00000123-NTR;fatty acid 16:1 n-7 trans;5282745;NULL;CHEBI:59265;NULL;HMDB0012328;10030-73-6;CCCCCC\C=C\CCCCCCCC(O)=O;C16H30O2;254,41;NULL;5,6
C18:1,trans;C18:1,trans;g/100g;8530;70;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F18:1TRS;g;W;RF-00000166-NTR;fatty acid 18:1 total trans;NULL;NULL;NULL;NULL;NULL;NULL;NULL;C18H34O2;282,46;0,8734;6,5
C20:1,trans;C20:1,trans;g/100g;8540;79;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F20:1TRS;g;W;RF-00000196-NTR;fatty acid 20:1 trans;NULL;NULL;NULL;NULL;NULL;NULL;NULL;C20H38O2;310,514;NULL;7,5
C22:1,trans;C22:1,trans;g/100g;8550;93;8;Monoumættede fedtsyrer;Monounsaturated fatty acids;F22:1TRS;g;W;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;C22H42O2;338,568;NULL;8,4
C18:2,n-6;C18:2,n-6;g/100g;9010;71;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F18:2CN6;g;W;RF-00000170-NTR;fatty acid 18:2 cis,cis n-6;5280450;C01595;CHEBI:17351;CHEMBL267476;HMDB0000673;60-33-3;CCCCC/C=C\C/C=C\CCCCCCCC(=O)O;C18H32O2;280,452;0,9;6,1
C18:2,konjugeret;C18:2,conjugated;g/100g;9020;72;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F18:2CON;g;W;RF-00000171-NTR;fatty acid 18:2 conjugated;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;280,452;NULL;NULL
C18:3,n-3;C18:3,n-3;g/100g;9030;74;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F18:3CN3;g;W;RF-00000179-NTR;fatty acid 18:3 cis,cis,cis n-3;5280934;C06427;CHEBI:27432;CHEMBL8739;HMDB0001388;463-40-1;O=C(O)CCCCCCC\C=C/C\C=C/C\C=C/CC;C18H30O2;278,436;0,9164;5,8
C18:3,n-6;C18:3,n-6;g/100g;9040;75;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F18:3CN6;g;W;RF-00000182-NTR;fatty acid 18:3 n-6 (gamma-linolenic acid);5280933;C06426;CHEBI:28661;CHEMBL464982;HMDB0003073;506-26-3;O=C(O)CCCC\C=C/C\C=C/C\C=C/CCCCC;C18H30O2;278,436;0,92;5,8
C18:4,n-3;C18:4,n-3;g/100g;9050;76;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F18:4CN3;g;W;RF-00000184-NTR;fatty acid 18:4 (stearidonic acid);5312508;C16300;CHEBI:32389;CHEMBL484430;HMDB0006547;20290-75-9;O=C(O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC;C18H28O2;276,42;0,92;5,5
C20:2,n-6;C20:2,n-6;g/100g;9060;80;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F20:2CN6;g;W;RF-00000199-NTR;fatty acid 20:2 n-6 cis;6439848;C16525;CHEBI:73731;CHEMBL464983;HMDB0005060;2091-39-6;CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O;C20H36O2;308,5;NULL;7
C20:3,n-3;C20:3,n-3;g/100g;9070;82;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F20:3CN3;g;W;RF-00000202-NTR;fatty acid 20:3 n-3 cis;5312529;C16522;CHEBI:53460;CHEMBL453991;HMDB0060039;17046-59-2;CC\C=C/C\C=C/C\C=C/CCCCCCCCCC(=O)O;C20H34O2;306,483;NULL;6,6
C20:3,n-6;C20:3,n-6;g/100g;9080;85;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F20:3CN6;g;W;RF-00000204-NTR;fatty acid 20:3 n-6 cis;5280581;C03242;CHEBI:53486;CHEMBL465183;HMDB0002925;1783-84-2;CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O;C20H34O2;306,49;NULL;6,7
C20:4,n-3;C20:4,n-3;g/100g;9090;349;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F20:4CN3;g;W;RF-00000207-NTR;fatty acid 20:4 n-3;11722594;NULL;CHEBI:71488;NULL;HMDB0002177;24880-40-8;CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)O;C20H32O2;304,467;NULL;6,4
C20:4,n-6;C20:4,n-6;g/100g;9100;86;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F20:4CN6;g;W;RF-00000208-NTR;fatty acid 20:4 n-6 (arachidonic acid);444899;C00219;CHEBI:15843;CHEMBL15594;HMDB0001043;506-32-1;CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O;C20H32O2;304;0,922;6,4
C20:5,n-3;C20:5,n-3;g/100g;9110;87;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F20:5CN3;g;W;RF-00000211-NTR;fatty acid 20:5 n-3 (timnodonic acid);446284;C06428;CHEBI:28364;CHEMBL460026;HMDB0001999;10417-94-4;CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O;C20H30O2;302,451;NULL;6,1
C21:5,n-3;C21:5,n-3;g/100g;9115;428;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F21:5CN3;mg;W;RF-00000216-NTR;fatty acid 21:5 n-3 (heneicosapentaenoic acid);11998573;NULL;CHEBI:165480;NULL;NULL;24257-10-1;CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O;C21H32O2;316.5;NULL;6,3
C22:2,n-6;C22:2,n-6;g/100g;9120;410;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F22:2CN6;g;W;RF-00000224-NTR;fatty acid 22:2 n-6 cis;5312554;C16533;CHEBI:75117;NULL;HMDB0062219;61012-47-3;CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)O;C22H40O2;336,552;NULL;7,8
C22:3,n-3;C22:3,n-3;g/100g;9125;426;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F22:3CN3;g;W;RF-00000225-NTR;fatty acid 22:3 n-3 cis;5312557;NULL;CHEBI:77807;NULL;HMDB0002823;28845-86-5;CC/C=C\C/C=C\C/C=C\CCCCCCCCCCCC(=O)O;C22H38O2;334.536;NULL;7,6
C22:4,n-6;C22:4,n-6;g/100g;9130;411;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F22:4CN6;g;W;RF-00000229-NTR;fatty acid 22:4 n-6 cis;5497181;C16527;CHEBI:53487;CHEMBL1491103;HMDB0002226;28874-58-0;CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O;C22H36O2;332,5;NULL;7,3
C22:5,n-3;C22:5,n-3;g/100g;9140;98;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F22:5CN3;g;W;RF-00000231-NTR;fatty acid 22:5 n-3 (clupanodonic acid);5497182;C16513;CHEBI:53488;CHEMBL496634;HMDB0006528;24880-45-3;O=C(O)CCCCC/C=C\C\C=C/C\C=C/C\C=C/C\C=C/CC;C22H34O2;330,504;NULL;7
C22:5,n-6;C22:5,n-6;g/100g;9150;412;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F22:5N6;g;W;RF-00000234-NTR;fatty acid 22:5 n-6 cis;5282848;NULL;CHEBI:65136;NULL;HMDB0001976;25182-74-5;CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O;C22H34O2;330,504;NULL;7
C22:6,n-3;C22:6,n-3;g/100g;9160;99;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F22:6CN3;g;W;RF-00000236-NTR;fatty acid 22:6 n-3 (docosahexaenoic acid);445580;C06429;CHEBI:28125;CHEMBL367149;HMDB0002183;6217-54-5;O=C(O)CC\C=C/C/C=C\C\C=C/C\C=C/C\C=C/C\C=C/CC;C22H32O2;328,488;0,943;6,7
C18:2,trans;C18:2,trans;g/100g;9510;73;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F18:2TRS;g;W;RF-00000176-NTR;fatty acid 18:2 trans;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;280,45;NULL;NULL
C18:3,trans;C18:3,trans;g/100g;9519;355;9;Polyumættede fedtsyrer;Polyunsaturated fatty acids;F18:3TRS;g;W;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Andre fedtsyrer;Other fatty acids;g/100g;10010;24;10;Fedtsyrer, summer;Fatty acids sums;FAUN;g;W;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Sum mættede fedtsyrer;Sum saturated fatty acids;g/100g;10110;248;10;Fedtsyrer, summer;Fatty acids sums;FASAT;g;W;RF-00000278-NTR;fatty acids, total saturated;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Sum enkeltumættede fedtsyrer;Sum monounsaturated fatty acids;g/100g;10120;247;10;Fedtsyrer, summer;Fatty acids sums;FAMS;g;W;RF-00000269-NTR;fatty acids, total monounsaturated;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Sum flerumættede fedtsyrer;Sum polyunsaturated fatty acids;g/100g;10130;251;10;Fedtsyrer, summer;Fatty acids sums;FAPU;g;W;RF-00000274-NTR;fatty acids, total polyunsaturated;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Sum transfedtsyrer;Sum trans fatty acids;g/100g;10140;261;10;Fedtsyrer, summer;Fatty acids sums;FATRS;g;W;RF-00000279-NTR;fatty acids, total trans;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Sum fedtsyrer under detektionsgrænsen;Sum fatty acids below the detection limit;g/100g;10144;427;10;Fedtsyrer, summer;Fatty acids sums;NULL;g;W;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Sum fedtsyrer;Sum fatty acids;g/100g;10150;340;10;Fedtsyrer, summer;Fatty acids sums;FACID;g;W;RF-00000263-NTR;fatty acids, total;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Sum n-3 fedtsyrer;Sum n-3 fatty acids;g/100g;10160;249;10;Fedtsyrer, summer;Fatty acids sums;FAN3;g;W;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Sum n-6 fedtsyrer;Sum n-6 fatty acids;g/100g;10170;250;10;Fedtsyrer, summer;Fatty acids sums;FAN6;g;W;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Kolesterol;Cholesterol;mg/100g;11010;115;12;Steroler;Sterols;CHORL;mg;W;RF-00000052-NTR;RF-00000052-NTR;5997;D00040;CHEBI:16113;CHEMBL112570;HMDB0000067;57-88-5;C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C;C27H46O;386,65;1,052;7,3
Nitrogen;Nitrogen;g/100g;12010;300;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;NT;g;W;RF-00000081-CHE;Nitrogen (N);3965;C00697;CHEBI:17997;CHEMBL142438;HMDB0001371;7727-37-9;N;N;14,007;NULL;NULL
Isoleucin;Isoleucine;mg/100g;12110;161;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;ILE;mg;W;RF-00000316-NTR;L-isoleucine;6306;D00065;CHEBI:17191;CHEMBL1233584;HMDB0000172;73-32-5;CC[C@H](C)[C@@H](C(=O)O)N;C6H13NO2;131,175;1,23;-1,7
Leucin;Leucine;mg/100g;12120;180;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;LEU;mg;W;RF-00000321-NTR;leucine;6106;D00030;CHEBI:15603;CHEMBL291962;HMDB0000687;61-90-5;CC(C)C[C@@H](C(=O)O)N;C6H13NO2;131,175;1,191;-1,5
Lysin;Lysine;mg/100g;12130;183;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;LYS;mg;W;RF-00000327-NTR;lysine;3349;C00047;CHEBI:18019;CHEMBL8085;HMDB0000182;56-87-1;C(CCN)C[C@@H](C(=O)O)N;C6H14N2O2;146,19;NULL;-3,1
Methionin;Methionine;mg/100g;12140;189;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;MET;mg;W;RF-00000343-NTR;L-Methionine;6137;C00073;CHEBI:16643;CHEMBL42336;HMDB0000696;63-68-3;CSCC[C@H](N)C(=O)O;C5H11NO2S;149,21;1,34;-1,9
Cystin;Cystine;mg/100g;12150;124;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;CYS;mg;W;RF-00000060-NTR;L-cystine;67678;C00491;CHEBI:16283;CHEMBL590540;HMDB0000192;56-89-3;C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N;C6H12N2O4S2;240,29;1,67;NULL
Phenylalanin;Phenylalanine;mg/100g;12160;211;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;PHE;mg;W;RF-00010457-PAR;L-Phenylalanine;6140;D00021;CHEBI:17295;CHEMBL301523;HMDB0000159;63-91-2;N[C@@H](CC1=CC=CC=C1)C(O)=O;C9H11NO2;165,192;1,34;-1,4
Tyrosin;Tyrosine;mg/100g;12170;264;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;TYR;mg;W;RF-00000417-NTR;tyrosine;6057;C00082;CHEBI:17895;CHEMBL925;HMDB0000158;60-18-4;N[C@@H](Cc1ccc(O)cc1)C(O)=O;C9H11NO3;181,191;1,456;-2,2
Threonin;Threonine;mg/100g;12180;258;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;THR;mg;W;RF-00009903-PAR;L-threonine;6288;C00188;CHEBI:16857;CHEMBL291747;HMDB0000167;72-19-5;C[C@H]([C@@H](C(=O)O)N)O;C4H9NO3;119,12;1,45;-2,9
Tryptofan;Tryptophan;mg/100g;12190;262;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;TRP;mg;W;RF-00000416-NTR;L-tryptophan;6305;D00020;CHEBI:16828;CHEMBL54976;HMDB0000929;73-22-3;c1ccc2c(c1)c(c[nH]2)C[C@@H](C(=O)O)N;C11H12N2O2;204,229;1,34;-1,1
Valin;Valine;mg/100g;12200;266;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;VAL;mg;W;RF-00000419-NTR;L-Valine;6287;D00039;CHEBI:16414;CHEMBL43068;HMDB0000883;72-18-4;CC(C)[C@@H](C(=O)O)N;C5H11NO2;117,148;1,316;-2,2
Arginin;Arginine;mg/100g;12210;31;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;ARG;mg;W;RF-00010348-PAR;L-Arginine;6322;C00062;CHEBI:16467;CHEMBL1485;HMDB0000517;74-79-3;C(C[C@@H](C(=O)O)N)CN=C(N)N;C6H14N4O2;174,204;1,42;-3,5
Histidin;Histidine;mg/100g;12220;159;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;HIS;mg;W;RF-00000306-NTR;histidine;6274;D00032;CHEBI:15971;CHEMBL17962;HMDB0000177;71-00-1;O=C([C@H](CC1=CNC=N1)N)O;C6H9N3O2;155,157;1,55;-3,3
Alanin;Alanine;mg/100g;12230;17;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;ALA;mg;W;RF-00000005-NTR;alanine;5950;C00041;CHEBI:16977;CHEMBL279597;HMDB0000161;56-41-7;O=C(O)[C@@H](N)C;C3H7NO2;89,094;1,424;-2,8
Asparaginsyre;Aspartic acid;mg/100g;12240;34;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;ASP;mg;W;RF-00000028-NTR;aspartic acid;5960;C00049;CHEBI:17053;CHEMBL274323;HMDB0000191;56-84-8;C([C@@H](C(=O)O)N)C(=O)O;C4H7NO4;133,11;1,7;-3,7
Glutaminsyre;Glutamic acid;mg/100g;12250;150;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;GLU;mg;W;RF-00000139-ADD;Glutamic acid;33032;C00025;CHEBI:16015;CHEMBL575060;HMDB0000148;56-86-0;C(CC(=O)O)[C@@H](C(=O)O)N;C5H9NO4;147,13;1,46;-3,7
Glycin;Glycine;mg/100g;12260;153;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;GLY;mg;W;RF-00000301-NTR;glycine;750;D00011;CHEBI:15428;CHEMBL773;HMDB0000123;56-40-6;C(C(=O)O)N;C2H5NO2;75;1,1607;-3,2
Prolin;Proline;mg/100g;12270;216;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;PRO;mg;W;RF-00010452-PAR;L-Proline;145742;C00148;CHEBI:26271;CHEMBL72275;HMDB0000162;147-85-3;C1C[C@H](NC1)C(=O)O;C5H9NO2;115,132;1,36;-2,5
Serin;Serine;mg/100g;12280;231;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;SER;mg;W;RF-00000391-NTR;serine;5951;C00065;CHEBI:17115;CHEMBL11298;HMDB0000187;56-45-1;C([C@@H](C(=O)O)N)O;C3H7NO3;105,093;1,603;-3,1
Hydroxyprolin;Hydroxyproline;mg/100g;12290;400;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;HYP;mg;W;RF-00000307-NTR;hydroxyproline;5810;C01157;CHEBI:18095;CHEMBL352418;HMDB0000725;51-35-4;C1[C@H](CN[C@@H]1C(=O)O)O;C5H9NO3;131,131;NULL;-3,3
Ornitin;Ornithine;mg/100g;12300;423;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;NULL;mg;W;NULL;NULL;389;D08302;CHEBI:15729;CHEMBL446143;HMDB0000214;70-26-8;O=C(O)[C@@H](N)CCCN;C5H12N2O2;132.161;NULL;-4,2
Sum essentielle Aminosyrer;Sum essential amino acids;mg/100g;12400;430;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;AAE8;mg;W;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Sum ikke essentielle aminosyrer ;Sum non-essential amino acids;mg/100g;12410;431;11;Aminosyrer og Nitrogen;Amino acids and Nitrogen;NULL;mg;W;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
